config,lighting,accuracy,precision,recall,f1,far,frr,tp,fp,fn,tn,avg_latency_ms
Baseline (HOG + Euclidean-cosine),bright,0.2717589774802191,0.19951923076923078,0.15155203895313452,0.17225873400207542,0.6080340839926963,0.8484479610468655,249,999,1394,644,0.3497850147602548
ArcFace (InsightFace),bright,0.8727936701156421,0.8162106350025813,0.9622641509433962,0.8832402234636871,0.21667681071211198,0.03773584905660377,1581,356,62,1287,116.72844933215539
ArcFace + TD-FALE-GAN,bright,0.7547169811320755,0.8687224669603524,0.6001217285453438,0.7098632109431245,0.09068776628119293,0.3998782714546561,986,149,657,1494,93.19247926652831
Baseline (HOG + Euclidean-cosine),normal,0.2014607425441266,0.2139941690962099,0.22337188070602557,0.21858248957712925,0.8204503956177723,0.7766281192939745,367,1348,1276,295,0.3795539614491106
ArcFace (InsightFace),normal,0.8670115642118077,0.8092307692307692,0.960438222763238,0.8783746173114388,0.22641509433962265,0.03956177723676202,1578,372,65,1271,118.58234417126518
ArcFace + TD-FALE-GAN,normal,0.8825319537431527,0.8560906515580736,0.9196591600730372,0.8867370892018779,0.1545952525867316,0.08034083992696288,1511,254,132,1389,126.46695527084267
Baseline (HOG + Euclidean-cosine),dim,0.20480827754108338,0.2417465388711395,0.27632379793061473,0.2578812837262141,0.8667072428484479,0.7236762020693853,454,1424,1189,219,0.36143574566646675
ArcFace (InsightFace),dim,0.8861838101034692,0.8296103896103896,0.9720024345709068,0.8951793721973094,0.19963481436396835,0.02799756542909312,1597,328,46,1315,113.60697635991937
ArcFace + TD-FALE-GAN,dim,0.911442483262325,0.8685932388222465,0.9695678636640293,0.9163071613459879,0.14668289713937918,0.030432136335970784,1593,241,50,1402,130.44312402234164
Baseline (HOG + Euclidean-cosine),dark,0.27997565429093124,0.15864022662889518,0.10225197808886184,0.1243523316062176,0.5423006695069994,0.8977480219111381,168,891,1475,752,0.35750728080131916
ArcFace (InsightFace),dark,0.5654290931223371,0.8798586572438163,0.15155203895313452,0.2585669781931464,0.020693852708460133,0.8484479610468655,249,34,1394,1609,102.27367664645956
ArcFace + TD-FALE-GAN,dark,0.5255629945222154,0.828125,0.06451612903225806,0.1197063805759458,0.013390139987827145,0.9354838709677419,106,22,1537,1621,100.0132528805399
